Policy parameter,,
policy_ID,F9UP84D6,
cover_period_start,01/04/2026,
cover_period_end,31/03/2027,
latitude,14.0760,
longitude,120.6321,
high_wind_threshold,27.5,kph
threshold_lost_fishing_hour,12,hour
accepted_lost_fishing_days,15,days
max_lost_fishing_days,25,days
payment_per_lost_fishing_day,450,PHP
,,
Result,,
actual_lost_fishing_hour,0,hour
lost_fishing_day,No,
cumulative_lost_fishing_days,0,days
payment_required,No,
payment_amount,0,PHP
cumulative_payout,0,PHP
,,
Hourly windspeed data,,
datetime,hourly_wind_speed,unit
22/05/2026 00:00,7.63,kph
22/05/2026 01:00,7.52,kph
22/05/2026 02:00,7.31,kph
22/05/2026 03:00,8.60,kph
22/05/2026 04:00,10.55,kph
22/05/2026 05:00,11.38,kph
22/05/2026 06:00,10.69,kph
22/05/2026 07:00,12.56,kph
22/05/2026 08:00,13.28,kph
22/05/2026 09:00,11.74,kph
22/05/2026 10:00,10.15,kph
22/05/2026 11:00,9.14,kph
22/05/2026 12:00,5.87,kph
22/05/2026 13:00,0.22,kph
22/05/2026 14:00,3.71,kph
22/05/2026 15:00,4.57,kph
22/05/2026 16:00,5.40,kph
22/05/2026 17:00,4.79,kph
22/05/2026 18:00,3.71,kph
22/05/2026 19:00,1.15,kph
22/05/2026 20:00,1.01,kph
22/05/2026 21:00,2.95,kph
22/05/2026 22:00,4.93,kph
22/05/2026 23:00,7.31,kph
